26⥌4.99⥌Flüssigwaschmittel⥌PERWOLL;Verschiedene Sorten, je 27 Waschladungen, Preis je Anwendung 0.18⥌aldi
40⥌2.99⥌Sekt⥌ROTKÄPPCHEN;Trocken oder Halbtrocken, je 0,75-l-Flasche,⥌aldi
28⥌1.79⥌Orange³⥌VALENSINA®;Auch als 6er-Pack erhältlich, 100 % Frucht,⥌aldi
40⥌1.19⥌Chipsfrisch⥌FUNNY-FRISCH;Verschiedene Sorten, je 150-g-Packung,⥌aldi
44⥌1.11⥌Schokolade⥌RITTER SPORT;Verschiedene Sorten, je 100-g-Packung,⥌aldi
  ⥌0.49⥌Kiwi Grün⥌;aus Neuseeland, Klasse I, Stück⥌edeka
  ⥌3.99⥌Kulturheidelbeeren⥌;aus Peru oder der Republik Südafrika, Klasse I, 500g⥌edeka
  ⥌1.11⥌Leerdammer*⥌;versch. Sorten und Fettstufen, 100g *gültig nur für die gekennzeichneten Aktionsartikel in Märkten mit Bedientheke⥌edeka
50⥌0.99⥌Arla Buko⥌;versch. Sorten, 200g⥌edeka
56⥌0.39⥌Müller Joghurt mit der Ecke⥌;versch. Sorten, 140g - 150g⥌edeka
47⥌0.79⥌Müllermilch⥌;versch. Sorten, z.B. Erdbeer-Geschmack, 400ml⥌edeka
25⥌6.99⥌Melitta Auslese⥌;versch. Sorten, gemahlen, vakuumverpackt, 500g⥌edeka
38⥌0.99⥌Barilla Pasta⥌;versch. Ausformungen, 500g⥌edeka
43⥌1.99⥌Original Wagner Big City Pizza, Die Backfrische Pizza oder Piccolinis⥌;tiefgefroren, versch. Sorten, z.B. Big City Pizza Sydney, 425g⥌edeka
44⥌1.11⥌Ritter Sport Schokolade Bunte Vielfalt⥌;versch. Sorten, 100g⥌edeka
50⥌1.99⥌Mövenpick Eis⥌;tiefgefroren, versch. Sorten, 850ml - 900ml⥌edeka
  ⥌11.99⥌Lindt Adventskalender⥌;mit hochwertiger Schokolade und 2 EDEKA-Einkaufsgutscheinen (Gesamtwert mind. 5 €, 196g)⥌edeka
20⥌1.59⥌Saft oder Nektar⥌;versch. Sorten, 1l (zzgl. € 0,25 Pfand)⥌edeka
25⥌1.49⥌Dschungeltiere⥌;Aus der laufenden Treueaktion, je Stück mit Sammelheft⥌penny
